SKU,Short description,Tags
STO-ITEM-2020-00001,"<ul>\n<li>সাদা গোলমরিচ ৫০ গ্রাম</li>\n</ul>\n
","গরম,মশলা,মসলা,gorom,mosla,gulmorich,golmoris,moshla,"
STO-ITEM-2020-00002,"<ul>\n<li>সাদা গোলমরিচ ১০০ গ্রাম</li>\n</ul>\n
","মরিচ,গরম,মশলা,মসলা,gorom,mosla,gulmorich,golmoris,moshla,"
STO-ITEM-2020-00003,"<ul>\n<li>কালো গোলমরিচ ৫০ গ্রাম</li>\n</ul>\n
","মরিচ,মসলা,গরম,মশলা,gorom,mosla,gulmorich,golmoris,moshla,"
STO-ITEM-2020-00004,"<ul>\n<li>কালো গোলমরিচ ১০০ গ্রাম</li>\n</ul>\n
","মরিচ,মসলা,গরম,মশলা,gorom,mosla,gulmorich,golmoris,moshla,"
STO-ITEM-2020-00005,"<ul>\n<li>জিরা ৫০ গ্রাম</li>\n</ul>\n
","যিরা,জীরা,গরম,মসলা,মশলা,jera,jira,gorom,moshla,mosla,"
STO-ITEM-2020-00006,"<ul>\n<li>জিরা ১০০ গ্রাম</li>\n</ul>\n
","যিরা,জীরা,গরম,মসলা,মশলা,jeera,jera,jira,gorom,moshla,mosla,"
STO-ITEM-2020-00007,"<ul>\n<li>লবঙ্গ ৫০ গ্রাম</li>\n</ul>\n
","লং,নাকফুল,গরম,মসলা,মশলা,moshla,mosla,nakful,gorom,long,lon,"
STO-ITEM-2020-00008,"<ul>\n<li>লবঙ্গ ১০০ গ্রাম</li>\n</ul>\n
","লং,নাকফুল,গরম,মসলা,মশলা,moshla,mosla,nakful,gorom,long,lon,"
STO-ITEM-2020-00009,"<ul>\n<li>এলাচি ৫০ গ্রাম</li>\n</ul>\n

","এলাচ,এলাইচি,গরম,মসলা,মশলা,elaichi,alachi,mosla,moshla,gorom,ilach"
STO-ITEM-2020-00010,"<ul>\n<li>এলাচি ১০০ গ্রাম</li>\n</ul>\n

","এলাচ,এলাইচি,গরম,মসলা,মশলা,elaichi,alachi,mosla,moshla,gorom,ilach"
STO-ITEM-2020-00011,"<ul>\n<li>দারুচিনি ৫০ গ্রাম</li>\n</ul>\n

","দারচিনি,গরম,মশলা,মসলা,gorom,mosla,Darchini,darchine,moshla,"
STO-ITEM-2020-00012,"<ul>\n<li>দারুচিনি ১০০ গ্রাম</li>\n</ul>\n

","দারচিনি,গরম,মশলা,মসলা,gorom,mosla,Darchini,darchine,moshla,"
STO-ITEM-2020-00013,<ul>\n<li>তেজপাতা ১০০ গ্রাম</li>\n</ul>\n,"তেসপাতা,মসলা,গরম,মশলা,gorom,moshla,mosla,Tezpata,tej,taj,tespata,tes"
STO-ITEM-2020-00015,<ul>\n<li>তেজপাতা ৫০ গ্রাম</li>\n</ul>\n,"তেসপাতা,মসলা,গরম,মশলা,gorom,moshla,mosla,Tezpata,tej,taj,tespata,tes"
STO-ITEM-2020-00016,<ul>\n<li>জয়ফল ৫০ গ্রাম</li>\n</ul>\n,"জায়ফল,যায়ফল,গরম,মসলা,মশলা,gorom,mosla,Joifol,jayfal,joy,"
STO-ITEM-2020-00017,<ul>\n<li>জয়েত্রিক ২৫ গ্রাম</li>\n</ul>\n,"জয়েত্রি,গরম,মসলা,মশলা,gorom,mosla,moshla,Joitrik,joyetrik,gorom,joy,"
STO-ITEM-2020-00018,<ul>\n<li>জয়েত্রিক ৫০ গ্রাম</li>\n</ul>\n,"জয়েত্রি,গরম,মসলা,মশলা,gorom,mosla,moshla,Joitrik,joyetrik,gorom,joy,"
STO-ITEM-2020-00019,<ul>\n<li>হলুদের গুরা ৬০ গ্রাম</li>\n</ul>\n," টারমারিক,পাওডার,পাউডার,হলূদ,মশলা,মসলা,mosla,moshla,hulud,termeric,pewder,powdar,"
STO-ITEM-2020-00020,<ul>\n<li>হলুদের গুরা ১৫০ গ্রাম</li>\n</ul>\n," টারমারিক,পাওডার,পাউডার,হলূদ,মশলা,মসলা,mosla,moshla,hulud,termeric,pewder,pawder,"
STO-ITEM-2020-00021,<ul>\n<li>ধনিয়ার গুরা ৬০ গ্রাম</li>\n</ul>\n,"মসলা,দনিয়া,গরম,মশলা,gorom,mosla,donia,gorom,dhonia,moshla,"
